adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 93, -4.244374641, 149.810000000, 13.384775097
"001100000", 79, -4.885368019, 176.250000000, 19.906381591
"001100010", 2, -1.681044392, 6.206000000, 2.502016021
"010100100", 68, 2.592677924, 34.706000000, 12.841548768
"010100110", 7, 3.146066511, 2.058000000, 1.570850452
"011000000", 32, -4.439009759, 57.258000000, 5.690007766
"011001000", 11, -2.013887357, 21.240000000, 5.084693522
"011100000", 18, 1.081822382, 12.602000000, 4.989728528
"011100010", 4, 0.918399175, 2.508000000, 1.624565920
"011100100", 9, 5.265903435, 1.358000000, 1.451222966
"011101000", 2, 1.530935858, 0.714000000, 0.840009066
"011101100", 4, 7.094371685, 0.268000000, 0.526050814
"011101110", 2, 31.591201434, 0.004000000, 0.063182149
