adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 401, 1.823231090, 396.106000000, 2.684245583
"001100000", 1100, -13.436688396, 1206.706000000, 7.941391276
"001100010", 40, 36.069080551, 1.094000000, 1.078652392
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 860, 1.459005878, 853.936000000, 4.156254673
"011001000", 0, 0.000000000, 0.000000000, 0.000000000
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
