adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 89, 1.684205078, 84.850000000, 2.464070471
"001100000", 240, -2.735351409, 258.846000000, 6.889791176
"001100010", 10, 9.768196787, 0.954000000, 0.926066519
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 164, 1.439341923, 159.378000000, 3.211189730
"011001000", 0, 0.000000000, 0.000000000, 0.000000000
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
